"Major area, region, country or area of destination",Notes,Code,Type of data (a),Estimated refugee stock (including asylum seekers) at mid-year (both sexes),,,,,,
EUROPE,,917,,1323376,3016710,2472899,1862341,1750314,2820482,3595669
Eastern Europe,,923,,45774,52683,45370,34195,48262,421850,194230
Belarus,,112,B,..,28988,869,781,655,2088,2408
Bulgaria,,100,B,0,1320,2790,5218,6942,26056,21818
Czechia,,203,C,..,2655,1209,1829,2449,4303,4455
Hungary,,348,B R,45123,11394,6698,8730,5781,41086,6272
Poland,,616,B,0,600,1020,6231,17681,17368,15037
Republic of Moldova,18,498,B,..,0,266,232,229,556,423
Romania,,642,B,651,194,1685,2320,1409,3030,5370
Russian Federation,,643,B,..,0,26956,1815,6385,316595,128139
Slovakia,,703,B,..,2339,846,3075,728,993,913
Ukraine,19,804,B,..,5193,3031,3964,6003,9775,9395
Northern Europe,,924,,207043,396827,499978,501986,434022,651984,596732
Channel Islands,20,830,B,0,0,0,0,0,0,0
Denmark,,208,B,31827,50924,70021,43972,17922,42260,39937
Estonia,,233,B,..,1,2,21,39,254,455
Faroe Islands,,234,B,0,0,0,0,0,0,0
Finland,21,246,B,2174,7624,13073,10899,8724,37069,23955
Iceland,,352,B,43,146,249,166,83,340,719
Ireland,,372,B,360,400,14610,9527,14236,11180,12314
Isle of Man,,833,B,0,0,0,0,0,0,0
Latvia,,428,B,..,4,7,38,68,387,725
Lithuania,,440,B,..,0,55,531,803,1175,1863
Norway,22,578,B,19581,47607,47693,43034,52733,75705,62083
Sweden,,752,B,109663,199212,168020,90617,101264,326566,292479
United Kingdom,,826,B,43395,90909,186248,303181,238150,157048,162202
Southern Europe,,925,,33975,905781,589293,203939,223940,301408,542138
Albania,,8,B,3000,4720,528,91,99,934,163
Andorra,,20,C,0,0,0,0,0,0,0
Bosnia and Herzegovina,,70,I R,..,..,38152,10768,7016,6798,5423
Croatia,,191,B R,..,198647,22437,2927,863,575,832
Gibraltar,,292,B,0,0,0,0,0,0,0
Greece,,300,B,8488,4428,9032,11257,57168,50979,83110
Holy See,23,336,I,0,0,0,0,0,0,0
Italy,,380,B,12379,9408,6437,20675,56397,177193,354698
Malta,,470,B,0,416,190,1939,6136,7665,9273
Montenegro,,499,B,..,..,..,..,16369,1791,952
North Macedonia,,807,B,0,9048,9051,1997,1559,718,425
Portugal,,620,B,867,248,433,363,384,1435,1668
San Marino,,674,C,0,0,0,0,0,0,0
Serbia,24,688,B,938,650700,484403,148297,73817,35448,32327
Slovenia,,705,B,..,22314,11643,251,312,395,835
Spain,25,724,B,8303,5852,6987,5374,3820,17477,52432
Western Europe,,926,,1036584,1661419,1338258,1122221,1044090,1445240,2262569
Austria,,40,B,37172,42980,48787,45709,42630,78947,171567
Belgium,,56,B,25721,31691,18832,15282,17892,66740,60928
France,,250,B,193000,155245,132508,178595,249263,336183,400228
Germany,,276,B,722250,1267900,906000,700016,594269,736740,1399669
Liechtenstein,,438,B,0,0,70,150,92,247,255
Luxembourg,,442,B,344,700,759,1822,3254,3727,3541
Monaco,,492,B,0,0,0,0,0,32,25
Netherlands,,528,B,17154,79960,146180,118189,74961,116587,109678
Switzerland,,756,B,40943,82943,85122,62458,61729,106037,116678
NORTHERN AMERICA,,918,,610144,775419,1019706,696254,426384,714900,1086344
Bermuda,,60,B,0,0,0,0,0,0,0
Canada,,124,B,145257,152125,125154,147171,155530,155530,156582
Greenland,,304,B,0,0,0,0,0,0,0
Saint Pierre and Miquelon,,666,B,0,0,0,0,0,0,0
United States of America,,840,B,464887,623294,894552,549083,270854,559370,929762
