Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Portugal,PRT,78713860217,89233599278,1.07592E+11,95009751901,99688641304,1.18122E+11,1.2263E+11,1.17017E+11,1.23946E+11,1.27427E+11,1.18311E+11,1.21499E+11,1.34156E+11,1.64862E+11,1.89035E+11,1.9718E+11,2.08582E+11,2.40191E+11,2.62345E+11,2.43702E+11,2.37881E+11,2.44797E+11,2.16237E+11,2.2637E+11,2.29596E+11,1.99314E+11,2.06286E+11,2.21358E+11,2.42313E+11,2.38785E+11
Romania,ROU,38995454545,28998684211,25121666667,26362894737,30074440483,37435317265,36937074278,35574916295,41694118973,35952781582,37253259017,40394824679,46066101951,57806506024,74972669057,98452791983,1.22023E+11,1.74585E+11,2.14314E+11,1.74104E+11,1.66309E+11,1.83327E+11,1.70636E+11,1.90801E+11,1.99959E+11,1.77729E+11,1.88129E+11,2.11695E+11,2.41457E+11,2.50077E+11
Russian Federation,RUS,5.16814E+11,5.17963E+11,4.60291E+11,4.35084E+11,3.95077E+11,3.95537E+11,3.91725E+11,4.04929E+11,2.70955E+11,1.95907E+11,2.5971E+11,3.06602E+11,3.4547E+11,4.30348E+11,5.91017E+11,7.64017E+11,9.89931E+11,1.29971E+12,1.66085E+12,1.22264E+12,1.52492E+12,2.04593E+12,2.2083E+12,2.29247E+12,2.05924E+12,1.36348E+12,1.27679E+12,1.5742E+12,1.66958E+12,1.69988E+12
El Salvador,SLV,4817542204,5252342400,5813399300,6680269200,7679384000,8921947100,9586327800,10221705900,10936669900,11284197000,11784927700,12282533600,12664190300,13243892200,13724810900,14698001400,15999886400,17011750900,17986890000,17601620000,18447920000,20283790000,21386140000,21990970000,22593480000,23438240000,24191440000,24979200000,26117400000,27022640000
Somalia,SOM,917044228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,TUR,1.50676E+11,1.50028E+11,1.58459E+11,1.8017E+11,1.3069E+11,1.69486E+11,1.81476E+11,1.89835E+11,2.75967E+11,2.56386E+11,2.74303E+11,2.01753E+11,2.40249E+11,3.14595E+11,4.08865E+11,5.06315E+11,5.57076E+11,6.81321E+11,7.70449E+11,6.49289E+11,7.76968E+11,8.38786E+11,8.80556E+11,9.57799E+11,9.38934E+11,8.64314E+11,8.69683E+11,8.58989E+11,7.78382E+11,7.61425E+11
Ukraine,UKR,81456918679,77464561150,73942235330,65648559903,52549555149,48213868178,44558077827,50150399792,41883241472,31580639045,31261527363,37972301335,42351593887,50084197498,64819702952,86057915585,1.07648E+11,1.4258E+11,1.79817E+11,1.17113E+11,1.36013E+11,1.6316E+11,1.75781E+11,1.8331E+11,1.33503E+11,91030959455,93355993629,1.1219E+11,1.30902E+11,1.53781E+11
United States,USA,5.96314E+12,6.15813E+12,6.52033E+12,6.85856E+12,7.28724E+12,7.63975E+12,8.07312E+12,8.57755E+12,9.06282E+12,9.63066E+12,1.02523E+13,1.05818E+13,1.09364E+13,1.14582E+13,1.22137E+13,1.30366E+13,1.38146E+13,1.44519E+13,1.47128E+13,1.44489E+13,1.49921E+13,1.55426E+13,1.6197E+13,1.67848E+13,1.75272E+13,1.82247E+13,1.8715E+13,1.95194E+13,2.05802E+13,2.14332E+13
Uzbekistan,UZB,13360607918,13677622222,12941297376,13099013836,12899156991,13350468917,13948892216,14744603774,14988971211,17078465982,13760513969,11401421329,9687788513,10134453435,12030023548,14307509839,17330833853,22311393928,29549438884,33689223673,46679875794,56516280748,63628854499,68997168338,76658542757,81847410182,81779012351,59159945321,50392607758,57921286440
Vietnam,VNM,6471740806,9613369520,9866990236,13180953598,16286433533,20736164459,24657470575,26843700442,27209602050,28683659007,31172518403,32685198735,35064105501,39552513316,45427854693,57633255618,66371664817,77414425532,99130304099,1.06015E+11,1.15932E+11,1.35539E+11,1.5582E+11,1.71222E+11,1.86205E+11,1.93241E+11,2.05276E+11,2.2378E+11,2.45214E+11,2.61921E+11
